[2024-09-03 09:49:57,290: INFO: main: template_config works]
[2024-09-04 17:50:29,638: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-04 18:13:01,615: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 18:13:01,627: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 18:13:01,630: INFO: common: created directory at: artifacts]
[2024-09-04 18:13:01,632: INFO: common: created directory at: artifacts\train_model]
[2024-09-04 18:13:01,641: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 18:13:01,645: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 18:13:01,646: INFO: common: created directory at: artifacts]
[2024-09-04 18:13:01,648: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-04 18:13:01,651: INFO: main: >>>>>> stage DATA_INJECTION started <<<<<<]
[2024-09-04 18:13:01,663: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 18:13:01,670: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 18:13:01,672: INFO: common: created directory at: artifacts]
[2024-09-04 18:13:01,677: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-04 18:13:01,684: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 18:13:01,690: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 18:13:01,694: INFO: common: created directory at: artifacts]
[2024-09-04 18:13:01,696: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-04 20:25:58,399: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 20:25:58,409: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 20:25:58,415: INFO: common: created directory at: artifacts]
[2024-09-04 20:25:58,419: INFO: common: created directory at: artifacts\train_model]
[2024-09-04 20:25:58,431: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 20:25:58,438: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 20:25:58,439: INFO: common: created directory at: artifacts]
[2024-09-04 20:25:58,443: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-04 20:25:58,448: INFO: main: >>>>>> stage DATA_INJECTION started <<<<<<]
[2024-09-04 20:25:58,455: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 20:25:58,465: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 20:25:58,469: INFO: common: created directory at: artifacts]
[2024-09-04 20:25:58,471: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-04 20:25:58,483: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 20:25:58,491: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 20:25:58,493: INFO: common: created directory at: artifacts]
[2024-09-04 20:25:58,497: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-04 20:26:02,799: INFO: main: >>>>>> stage DATA_INJECTION completed <<<<<<

x==========x]
[2024-09-04 21:12:40,553: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 21:12:40,656: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 21:12:40,659: INFO: common: created directory at: artifacts]
[2024-09-04 21:12:40,661: INFO: common: created directory at: artifacts\train_model]
[2024-09-04 21:12:40,666: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 21:12:40,672: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 21:12:40,675: INFO: common: created directory at: artifacts]
[2024-09-04 21:12:40,677: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-04 21:12:40,678: INFO: main: >>>>>> stage DATA_INJECTION started <<<<<<]
[2024-09-04 21:12:40,682: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 21:12:40,687: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 21:12:40,691: INFO: common: created directory at: artifacts]
[2024-09-04 21:12:40,691: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-04 21:12:40,699: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 21:12:40,704: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 21:12:40,705: INFO: common: created directory at: artifacts]
[2024-09-04 21:12:40,706: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-04 21:14:27,026: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 21:14:27,033: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 21:14:27,035: INFO: common: created directory at: artifacts]
[2024-09-04 21:14:27,037: INFO: common: created directory at: artifacts\train_model]
[2024-09-04 21:14:27,133: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 21:14:27,139: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 21:14:27,141: INFO: common: created directory at: artifacts]
[2024-09-04 21:14:27,143: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-04 21:14:27,145: INFO: main: >>>>>> stage DATA_INJECTION started <<<<<<]
[2024-09-04 21:14:27,155: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 21:14:27,159: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 21:14:27,160: INFO: common: created directory at: artifacts]
[2024-09-04 21:14:27,161: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-04 21:14:27,169: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 21:14:27,172: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 21:14:27,174: INFO: common: created directory at: artifacts]
[2024-09-04 21:14:27,175: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-04 21:15:32,486: INFO: main: >>>>>> stage DATA_INJECTION completed <<<<<<

x==========x]
[2024-09-05 01:01:24,199: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 01:01:24,234: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 01:01:24,235: INFO: common: created directory at: artifacts]
[2024-09-05 01:01:24,238: INFO: common: created directory at: artifacts\train_model]
[2024-09-05 01:01:24,330: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 01:01:24,339: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 01:01:24,341: INFO: common: created directory at: artifacts]
[2024-09-05 01:01:24,342: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-05 01:02:17,465: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 01:02:17,472: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 01:02:17,473: INFO: common: created directory at: artifacts]
[2024-09-05 01:02:17,474: INFO: common: created directory at: artifacts\train_model]
[2024-09-05 01:02:17,483: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 01:02:17,489: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 01:02:17,491: INFO: common: created directory at: artifacts]
[2024-09-05 01:02:17,492: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-05 01:05:54,995: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 01:05:55,004: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 01:05:55,005: INFO: common: created directory at: artifacts]
[2024-09-05 01:05:55,008: INFO: common: created directory at: artifacts\train_model]
[2024-09-05 01:05:55,018: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 01:05:55,026: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 01:05:55,028: INFO: common: created directory at: artifacts]
[2024-09-05 01:05:55,034: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-05 01:50:08,951: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 01:50:08,976: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 01:50:08,979: INFO: common: created directory at: artifacts]
[2024-09-05 01:50:08,981: INFO: common: created directory at: artifacts\train_model]
[2024-09-05 01:50:08,991: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 01:50:08,996: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 01:50:08,999: INFO: common: created directory at: artifacts]
[2024-09-05 01:50:09,002: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-05 02:10:27,035: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 02:10:27,049: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 02:10:27,052: INFO: common: created directory at: artifacts]
[2024-09-05 02:10:27,053: INFO: common: created directory at: artifacts\train_model]
[2024-09-05 02:10:27,062: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-05 02:10:27,068: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-05 02:10:27,069: INFO: common: created directory at: artifacts]
[2024-09-05 02:10:27,070: INFO: common: created directory at: artifacts/pretrain_model]
